date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:42:58	174/174	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:42:57%20GMT	http://tieuhocyenso.edu.vn/robots.txt		(from )
20:43:01	99048/99048	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:42:57%20GMT	http://tieuhocyenso.edu.vn/	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/index.html	(from )
20:43:01	2076/2076	---M--	404	error ('Not%20Found')	text/html	etag:%2257285177-81c%22	http://tieuhocyenso.edu.vn/App/Corporate/images/favicon.ico	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/App/Corporate/images/favicon.ico	(from http://tieuhocyenso.edu.vn/)
20:43:03	351862/351862	---M--	200	added ('OK')	text/css	etag:%2261656fe4-55e76%22	http://tieuhocyenso.edu.vn/css/1.4946/29385/2297/style.css?46	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/css/1.4946/29385/2297/styled9d4.css	(from http://tieuhocyenso.edu.vn/)
20:43:04	31000/31000	---M--	200	added ('OK')	text/css	etag:%2259b2b9ec-7918%22	http://tieuhocyenso.edu.vn/3rdparty/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/3rdparty/font-awesome-4.7.0/css/font-awesome.min.css	(from http://tieuhocyenso.edu.vn/)
20:43:08	56803/56803	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:43:04%20GMT	http://tieuhocyenso.edu.vn/gioi-thieu/co-cau-to-chuc	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/gioi-thieu/co-cau-to-chuc.html	(from http://tieuhocyenso.edu.vn/)
20:43:14	79689/79689	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:43:07%20GMT	http://tieuhocyenso.edu.vn/gioi-thieu/co-cau-to-chuc/hoi-dong-truong	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/gioi-thieu/co-cau-to-chuc/hoi-dong-truong.html	(from http://tieuhocyenso.edu.vn/)
20:43:15	83313/83313	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:43:05%20GMT	http://tieuhocyenso.edu.vn/gioi-thieu/co-cau-to-chuc/ban-giam-hieu	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/gioi-thieu/co-cau-to-chuc/ban-giam-hieu.html	(from http://tieuhocyenso.edu.vn/)
20:43:17	79558/79558	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:43:09%20GMT	http://tieuhocyenso.edu.vn/gioi-thieu/co-cau-to-chuc/cong-doan	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/gioi-thieu/co-cau-to-chuc/cong-doan.html	(from http://tieuhocyenso.edu.vn/)
20:43:23	79605/79605	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:43:14%20GMT	http://tieuhocyenso.edu.vn/gioi-thieu/co-cau-to-chuc/doan-tncs-hcm	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/gioi-thieu/co-cau-to-chuc/doan-tncs-hcm.html	(from http://tieuhocyenso.edu.vn/)
